"","SIGLEC6","NEFL","NTNG1","FOXC2"
"TCGA-XF-AAN8-01A",-0.157286298188297,-0.28436090713831,0.103833310099567,0.915282743565413
"TCGA-DK-A3IQ-01A",1.11612494665075,-0.310248409575364,0.137334648661893,-0.213687854941228
"TCGA-XF-AAMJ-01A",-0.178601843881882,-0.340078636704721,-0.457757510888592,0.0662103702769042
"TCGA-FD-A3B7-01A",-0.128779965995671,-0.334451848984931,0.850716093342,0.425167796382615
"TCGA-FD-A5BT-01A",-0.342397687777888,-0.290392155246432,-0.314785621906433,1.11065144427607
"TCGA-FD-A5BZ-01A",4.94265061935456,-0.296912423471428,-0.104072055684277,0.109712467635143
"TCGA-FD-A5BS-01A",-0.288774965599327,-0.239972143612831,-0.39117360049597,0.17835200448482
"TCGA-FD-A62S-01A",0.170151301321593,-0.187973004518489,-0.314588555209007,0.535616235184373
"TCGA-K4-A3WS-01A",0.0485499653467433,-0.325683107014222,0.383421687071916,0.0707689732934861
"TCGA-BT-A20R-01A",0.305235361982143,-0.333754995318385,-0.358214195351565,0.0784534755214385
"TCGA-GV-A3QG-01A",4.44828404754551,-0.140089784741175,0.705625737362517,0.160768821420861
"TCGA-FD-A3SP-01A",0.63652516854509,-0.340078636704721,-0.298453719357299,-0.211603922133648
"TCGA-GD-A3OS-01A",-0.397792425200855,1.75251994675489,1.63011488165963,2.59805848568653
"TCGA-XF-A9SP-01A",-0.115168834408202,0.958881048743678,0.350166681881372,0.282678890664311
"TCGA-SY-A9G0-01A",0.694565088144491,1.41835620022386,1.14336013901879,0.285935035676155
"TCGA-DK-A2I4-01A",-0.130064035013357,-0.330245257187899,-0.263794613947599,-0.138015044865968
"TCGA-FD-A3SQ-01A",-0.0966782405535254,-0.287223712405848,-0.107028056145658,-0.359823643072799
"TCGA-DK-AA6S-01A",-0.355238377954747,-0.305164637943688,-0.306336387254317,0.16728111144455
"TCGA-FD-A3B8-01A",0.371878544000038,-0.306213993611148,0.922399104530506,-0.0540065035603859
"TCGA-XF-A9SV-01A",-0.245116618998009,-0.297676517404044,-0.412333637132028,-0.109621460362686
"TCGA-XF-AAMY-01A",0.174388729079956,-0.316279657683486,-0.115896057529803,-0.000475479565666307
"TCGA-ZF-AA52-01A",0.812314217066282,-0.330967580652199,-0.107028056145658,-0.177219030808573
"TCGA-FD-A3SO-01A",-0.250124488166984,-0.340078636704721,-0.477565177313567,-0.121343582405325
"TCGA-DK-AA74-01A",-0.420225110939827,-0.327618811643518,-0.366761963352394,0.0809281457304402
"TCGA-BL-A13J-01A",-0.00923314044911954,-0.314965416119385,-0.381788299031084,-0.522969532746244
"TCGA-XF-A9SX-01A",-0.355752005561821,-0.340078636704721,-0.406594069569511,-0.403846723632933
"TCGA-FD-A3SM-01A",0.81526757580696,-0.333821216792545,-0.450687743118455,-0.233354970812768
"TCGA-XF-AAME-01A",0.33271443896062,1.48457767438397,0.993343115603666,0.483648160795338
"TCGA-FD-A6TA-01A",-0.275035427110089,-0.157001730449758,-0.34148815940758,-0.251849874480043
"TCGA-XF-AAN3-01A",-0.249996081265215,-0.334499732204709,-0.395632234525221,-0.400199841219668
"TCGA-FD-A43U-01A",-0.326937496804951,0.113895038460618,-0.330403157677399,1.05464575007235
"TCGA-XF-A9T3-01A",-0.374460891149504,0.180218391811748,4.82481238029786,0.142664655155007
"TCGA-FD-A3SL-01A",-0.403082789553721,0.0416626920305851,1.02980045462737,0.454863838890635
"TCGA-DK-A2HX-01A",-0.157671518893603,-0.195104547889578,-0.0545590479561336,-0.424686051708736
"TCGA-ZF-AA4R-01A",-0.446587047872917,-0.321159670933131,-0.471786196411566,0.0594375886522681
"TCGA-UY-A8OD-01A",-0.203898003530293,-0.331948677261679,0.0828949734981137,0.129900566708578
"TCGA-XF-A9SK-01A",-0.235100880660059,-0.313895684613722,-0.413737737351184,-0.425467526511579
"TCGA-XF-A9SJ-01A",1.021103839342,2.40556556116464,-0.29071885148335,0.144748587962588
"TCGA-K4-A54R-01A",0.77263648441979,-0.340078636704721,-0.472645899879085,-0.5522357641127
"TCGA-DK-A6B2-01A",4.29162762738784,-0.226177701149324,-0.426350005986412,-0.112486867973109
"TCGA-XF-A9SZ-01A",2.03808650134919,-0.340078636704721,0.569649716138961,0.578336857739769
"TCGA-R3-A69X-01A",-0.123900503728465,1.33175888786063,0.26247200152705,0.0637357000679025
"TCGA-FD-A6TF-01A",3.59951442685517,-0.327139979445744,0.212958993798907,-0.0305622594751073
"TCGA-XF-A8HH-01A",-0.329634041742091,-0.32390022117145,0.136595648546547,-0.191155331459266
"TCGA-BT-A20U-01A",-0.446587047872917,-0.308108946564038,-0.468931192632615,0.180435937292401
"TCGA-BT-A2LB-01A",0.417719807931423,-0.329187751185157,-0.322372689757312,-0.227493909791448
"TCGA-XF-A9SW-01A",0.11236819552573,0.0217962497825508,1.72889456374414,2.00674255153561
"TCGA-FT-A61P-01A",-0.192469789272889,-0.288110061367683,1.84393224836624,-0.316451791515033
"TCGA-FD-A6TG-01A",0.376115971758402,-0.231067902318071,0.576547050548851,-0.13358668764986
"TCGA-FD-A6TD-01A",-0.270284371744651,-0.318429308613914,-0.338753858980802,-0.00711801538982859
"TCGA-XF-AAMT-01A",-0.121974400201936,-0.0691818677943448,1.43575785132379,-0.248723975268673
"TCGA-DK-A1AB-01A",-0.129678814308052,0.183682284306277,3.60053552254229,0.634342551943491
"TCGA-DK-A3WX-01A",-0.329826652094744,-0.333777408740408,-0.351735627673703,3.42511931869497
"TCGA-SY-A9G5-01A",-0.304569014516863,-0.340078636704721,-0.434257307220608,-0.275554610166269
"TCGA-ZF-A9R9-01A",1.74788690335219,-0.340078636704721,0.358295683150172,-0.386003048968027
"TCGA-ZF-A9RC-01A",0.620602712725786,-0.311990543741731,-0.162945731540128,-0.24898446686962
"TCGA-DK-A2I1-01A",-0.048012024783232,-0.340078636704721,-0.372107397520059,-0.110533180966002
"TCGA-DK-A1AF-01A",0.479355120780343,-0.209367634631756,0.48762070333562,0.839740179290626
"TCGA-DK-A1A5-01A",1.11612494665075,-0.330224881349696,-0.398538968312246,2.34928900678163
"TCGA-FD-A62P-01A",-0.272980916681792,-0.340078636704721,-0.302197986608382,-0.465062249855605
"TCGA-FD-A62N-01A",-0.232147521919382,-0.28743765870698,-0.25605974607365,-0.269563303344476
"TCGA-FD-A3SR-01A",1.60663931140674,-0.32645738886594,0.821402422099966,-0.329346125761937
"TCGA-XF-A9SU-01A",3.21172558351405,-0.122159047122436,0.178472321749454,0.634733289344912
"TCGA-BT-A20O-01A",0.552803868591974,-0.306692825808921,3.82469889086374,-0.191936806262109
"TCGA-K4-A83P-01A",0.166042280464998,-0.118593275436892,1.25396382294882,0.0896546143621828
"TCGA-GU-AATP-01A",-0.446587047872917,-0.340078636704721,-0.470527432881761,-0.103369661939945
"TCGA-FD-A6TB-01A",-0.152406835921091,0.164121479631289,0.207539659619707,-0.214990312945966
"TCGA-DK-A3IN-01A",-0.297891855624897,-0.340078636704721,-0.330058290956905,-0.243514143249722
"TCGA-BL-A13J-01B",0.141259748423661,-0.313141778600206,-0.23832374330536,-0.43862235235943
"TCGA-UY-A8OC-01A",-0.365151390771281,-0.00459046069047945,3.84933222804192,0.435457214620043
"TCGA-G2-A2EO-01A",-0.416231656294824,-0.340078636704721,-0.468817879281596,-0.0107648978030941
"TCGA-5N-A9KI-01A",-0.218022762724838,-0.280550625394329,0.35533968268879,-0.538599028803096
"TCGA-DK-A3IT-01A",0.552547054788436,-0.314282825539581,0.152114650968801,0.0121583630802895
"TCGA-C4-A0F6-01A",-0.262451550736768,-0.295139725547757,-0.415979371034398,-0.442138988972222
"TCGA-UY-A78M-01A",-0.446587047872917,-0.206922534047383,-0.453840810277262,-0.284932307800381
"TCGA-FD-A6TH-01A",6.06492694081199,-0.335376912039352,-0.472015286447323,-0.348101521030159
"TCGA-XF-A9T8-01A",-0.219306831742523,-0.333384155063088,-0.455294177170774,-0.115091783982584
"TCGA-FD-A5C1-01A",-0.283381875725047,0.0097745052427146,-0.485154708498165,-0.269954040745897
"TCGA-FD-A5BY-01A",-0.248840419149298,-0.271432437798436,-0.282589850214551,-0.335728169985151
"TCGA-UY-A9PB-01A",-0.195679961817104,-0.322086771571373,-0.291999785016616,-0.348882995833002
"TCGA-FD-A6TC-01A",5.0659212450524,-0.340078636704721,-0.31739675564732,-0.417522532682679
"TCGA-E7-A97Q-01A",4.96961606872596,-0.340078636704721,-0.37560533139936,-0.319317199125456
"TCGA-E7-A6MD-01A",0.0113119638338539,-0.226075821958308,-0.351587827650634,-0.289100173415541
"TCGA-UY-A9PD-01A",0.706250116205432,-0.306193617772945,-0.377649898385149,0.391434134059909
"TCGA-4Z-AA7N-01A",0.359166260724948,-0.119510188156032,0.281439671154249,0.169104552651183
"TCGA-FD-A3SN-01A",-0.319759550996087,-0.340078636704721,-0.415609870976726,-0.436668665352323
"TCGA-XF-A9SM-01A",-0.347521123158455,-0.340078636704721,-0.220341407165289,-0.113398588576425
"TCGA-BL-A3JM-01A",-0.291086289831162,-0.106265893324009,4.07842226379899,1.34900125914307
"TCGA-K4-A5RH-01A",-0.422780408285022,3.43556418233196,-0.223543740998452,-0.346278079823527
"TCGA-XF-A9SL-01A",0.134967810237001,-0.0805923371880877,1.62666621445469,0.315110094982279
"TCGA-DK-A3WY-01A",-0.0341440793922249,-0.222408171081748,0.678282733094737,0.100204524200558
"TCGA-K4-A6MB-01A",2.13439167767562,-0.306336248640367,-0.365505663156306,-0.385351819965658
"TCGA-ZF-AA58-01A",-0.377555497482126,-0.326875093549104,-0.344715126577922,-0.35018545383774
"TCGA-4Z-AA86-01A",-0.204796851842673,-0.340078636704721,-0.344493426543318,-0.469751098672661
"TCGA-GC-A3I6-01A",-0.0902578954650962,-0.340078636704721,-0.425931239254383,-0.31254441750082
"TCGA-G2-A2ES-01A",-0.272467289074717,-0.33470756575438,-0.468958289303511,0.531057632167791
"TCGA-HQ-A5NE-01A",-0.370069375109018,-0.340078636704721,-0.320574456143305,-0.110142443564581
"TCGA-XF-A9T0-01A",-0.392720352580996,-0.331512634324132,-0.406052136151592,-0.279331738380009
"TCGA-XF-A9SY-01A",-0.295708938294831,1.07196695077095,-0.198417737076708,0.315500832383701
"TCGA-FD-A6TK-01A",-0.101814516624269,-0.303565134644744,-0.208763738691544,-0.250677662275779
"TCGA-GU-A762-01A",-0.402736090918946,-0.245544935361382,-0.375679231410895,-0.207696548119435
"TCGA-BT-A20N-01A",-0.427647029862051,-0.340078636704721,-0.0585003819046425,-0.514855219376728
"TCGA-K4-A4AB-01B",-0.354622024826257,-0.0949573031212817,7.27829276324465,0.107368043226616
"TCGA-KQ-A41P-01A",-0.340779760815604,-0.282537269619132,0.0144142961427718,-0.0261339022589991
"TCGA-UY-A78P-01A",-0.158313553402446,1.4448447898879,-0.218124406819252,0.114140824851252
"TCGA-GC-A3YS-01A",-0.386775113029111,-0.340078636704721,0.258284334206759,-0.386524032169922
"TCGA-UY-A78L-01A",-0.396534037563523,-0.310472543795599,-0.473027716605347,-0.386263540568974
"TCGA-BT-A20T-01A",-0.421355091675391,-0.316320409359892,-0.267612781210217,-0.386003048968027
"TCGA-CU-A72E-01A",-0.344927303742729,-0.340078636704721,-0.222065740767761,-0.15846363554035
"TCGA-ZF-AA53-01A",-0.446587047872917,-0.330568214223418,-0.482612548101377,0.245168100127865
"TCGA-FD-A5BU-01A",-0.284409130939196,-0.292908571264516,-0.0631807159684968,2.15913013808992
"TCGA-GD-A2C5-01A",0.296375285760111,-0.334020900006935,-0.337103425389864,0.119350656870202
"TCGA-FD-A3B3-01A",-0.237412204891894,3.5700447144725,-0.328013723971116,-0.291705089425017
"TCGA-GD-A3OP-01A",-0.137126414610629,-0.189195554810675,-0.316066555439698,-0.363600771286538
"TCGA-XF-A8HE-01A",-0.246785908721,-0.217416090721986,-0.421004571818747,-0.360344626274694
"TCGA-CF-A9FL-01A",-0.414344074838826,-0.32481713389059,-0.330403157677399,0.70167963078843
"TCGA-GU-A764-01A",-0.419480350909569,-0.283240236037139,-0.313751021744949,0.58146275695114
"TCGA-GU-AATO-01A",-0.246914315622769,-0.340078636704721,-0.356982528492656,-0.447218575190699
"TCGA-BT-A20Q-01A",-0.26861508202166,-0.318215362312781,-0.361441162521907,-0.425337280711105
"TCGA-XF-AAN4-01A",0.395505413925458,-0.240899244251072,0.882739431673635,0.70167963078843
"TCGA-XF-AAMR-01A",0.368539964554055,-0.276658840297534,2.1274619592871,-0.118868912196324
"TCGA-GC-A3OO-01A",0.0124676259497712,-0.325703482852425,0.0572763028328059,-0.220721128166812
"TCGA-DK-A1A3-01A",3.97703071805481,-0.332193187320116,1.70007355924567,-0.395901729804033
"TCGA-XF-A9T2-01A",0.586574883757111,-0.269333726463515,-0.42772947286839,3.34176200639176
"TCGA-K4-A5RI-01A",-0.216481879903614,-0.273653404162575,-0.138312394361947,0.0569629184432665
"TCGA-5N-A9KM-01A",-0.206722955369202,-0.332549764488671,-0.374496831226342,-0.46662519946129
"TCGA-4Z-AA7M-01A",-0.373960104232606,-0.340078636704721,-0.473574576690702,-0.444743904981697
"TCGA-XF-A8HD-01A",1.3382688867104,-0.312143362528254,-0.172552733039618,-0.51434726075488
"TCGA-UY-A9PH-01A",-0.446587047872917,-0.340078636704721,-0.451648443268404,-0.309809255690871
"TCGA-E7-A97P-01A",-0.384052886711617,-0.325163523140043,-0.285053183932369,-0.128116364029961
"TCGA-DK-A3IU-01A",5.75418223853201,-0.127049248291183,1.31825683298387,-0.388347473376555
"TCGA-GV-A3JZ-01A",-0.25949819199609,-0.036682405860381,-0.188071735461872,-0.41582933727652
"TCGA-XF-AAMG-01A",-0.412623422355127,-0.246146022588374,-0.277983416162231,-0.237392590627455
"TCGA-UY-A9PE-01A",0.191852067720483,-0.340078636704721,-0.349420093978955,-0.370634044512122
"TCGA-DK-A1AC-01A",-0.324253792557987,-0.334666814077974,-0.456451944018149,-0.541216969392619
"TCGA-FD-A43P-01A",-0.233431590937068,0.439195295373303,-0.251822812079003,-0.463890037651341
"TCGA-BT-A0S7-01A",-0.423550849695633,-0.340078636704721,-0.310474787900251,0.456817525897741
"TCGA-DK-A1AD-01A",-0.390653001462522,-0.32940169748629,-0.121069058337221,-0.485328496409324
"TCGA-K4-AAQO-01A",0.255285077194164,-0.275803055093003,1.11355380103319,-0.292877301629281
"TCGA-4Z-AA82-01A",-0.2177659489213,0.785686424017225,-0.389818766951171,-0.0417633983158515
"TCGA-FD-A43N-01A",0.394478158711309,-0.340078636704721,-0.401963002180014,-0.183210337630366
"TCGA-FD-A3SJ-01A",-0.319836595137148,-0.340078636704721,0.502893372386092,-0.373369206322071
"TCGA-2F-A9KO-01A",-0.283767096430353,-0.322351657468013,-0.0885530532620228,-0.423253347903525
"TCGA-XF-A8HF-01A",-0.340728398054897,0.269872079905441,-0.485127611827269,-0.175656081202887
"TCGA-FD-A3NA-01A",-0.139309331940695,-0.340078636704721,-0.189303402320781,-0.300040820655338
"TCGA-G2-A2EC-01A",-0.107207606498549,-0.311094006860794,0.480230702182166,-0.437840877556587
"TCGA-DK-A3IK-01A",0.416692552717274,-0.340078636704721,-0.146934062374311,-0.292616810028333
"TCGA-DK-AA6X-01A",-0.119663075970102,-0.314364328892393,0.372336685341735,-0.419997202891681
"TCGA-FD-A62O-01A",2.17805002427694,-0.340078636704721,-0.388217600034589,-0.478477567304404
"TCGA-KQ-A41S-01A",-0.0929544404022365,-0.327007536497424,-0.303281853444222,-0.30251549086434
"TCGA-XF-AAMX-01A",-0.372945689708634,-0.287875739228347,-0.473291293313153,-0.354223073652427
"TCGA-GV-A40E-01A",-0.446587047872917,-0.0846675048287101,-0.337275858750112,-0.449823491200174
"TCGA-LC-A66R-01A",-0.345492294110511,-0.315780449647509,-0.355898661656816,-0.381053708550023
"TCGA-C4-A0F1-01A",-0.381150890731647,3.32349707221484,-0.436425040892288,-0.400460332820615
"TCGA-PQ-A6FN-01A",-0.429020983710975,-0.323523268164692,-0.446155209077669,0.632779602337805
"TCGA-ZF-AA56-01A",-0.0245135617595811,2.24969039891083,-0.414402837454995,0.900955705513298
"TCGA-XF-A9SI-01A",-0.0213033892153665,2.05102597643049,-0.269238581463977,0.249596457343973
"TCGA-GU-A766-01A",-0.379301831346179,-0.333629683913436,-0.377009431618517,1.48836426565
"TCGA-GC-A3RD-01A",-0.388315995850334,-0.340078636704721,-0.493525116471311,-0.521237263599942
"TCGA-BT-A3PK-01A",-0.362403483073434,-0.321730194402818,-0.489298035811535,0.682142760717364
"TCGA-XF-AAN0-01A",-0.224571514715035,-0.24769458629181,-0.185608401744054,-0.475612159693981
"TCGA-FD-A5BR-01A",-0.00242757465538462,-0.134792066808366,0.107035643932731,1.18358909254138
"TCGA-FD-A43Y-01A",-0.409618700853742,4.66320843406946,-0.463398545102396,3.9304730245332
"TCGA-FD-A3B4-01A",-0.128523152192134,4.40036012124932,-0.0681073834041329,1.58083878398638
"TCGA-BT-A0YX-01A",-0.203769596628525,-0.318643254915047,-0.493525116471311,-0.473137489484979
"TCGA-DK-A2I2-01A",-0.377362887129474,-0.287794235875535,1.11995846869951,-0.349534224835371
"TCGA-CU-A0YN-01A",-0.25949819199609,-0.313783617503604,-0.410929536912871,-0.511573025204789
"TCGA-BL-A13I-01B",1.44484661517833,6.78127681528297,-0.178711067334164,2.03930400165405
"TCGA-DK-A3IL-01A",-0.0197625063941435,-0.333022483934983,0.978070446553194,-0.202486716100484
"TCGA-2F-A9KT-01A",-0.426131828421182,-0.273714531677184,-0.482435188073694,1.87389183505236
"TCGA-UY-A78N-01A",-0.0543039629698926,-0.32252485209274,0.185615989531126,0.872301629409069
"TCGA-DK-A3X1-01A",-0.372457743481914,-0.340078636704721,-0.469096235991709,-0.111965884771214
"TCGA-ZF-AA51-01A",-0.358204577385601,-0.340078636704721,-0.48132176123324,-0.409317047252832
"TCGA-K4-A3WV-01A",-0.446587047872917,-0.289414115012682,-0.443273108627822,0.169886027454025
"TCGA-XF-A9T5-01A",-0.312530242426515,0.184904834598463,-0.373560764413571,-0.188420169649317
"TCGA-BT-A2LA-01A",-0.436451891116323,1.4448447898879,5.45049914462365,-0.253152332484781
"TCGA-E7-A85H-01A",-0.357562542876758,0.0083481965684968,-0.479476724278594,-0.356307006460007
"TCGA-YF-AA3M-01A",-0.421688949619989,-0.340078636704721,-0.426448539335125,-0.612500495991913
"TCGA-FD-A5C0-01A",-0.225213549223878,-0.305837040604391,0.491562037284129,-0.463759791850868
"TCGA-YC-A89H-01A",-0.387866571694144,-0.31912208711282,-0.493525116471311,-0.58133267593854
"TCGA-E7-A3X6-01A",-0.418504458456128,-0.340078636704721,-0.402997602341497,-0.52517068677425
"TCGA-FD-A43S-01A",-0.372509106242621,-0.203968037507932,0.267891335706249,-0.430547112730056
"TCGA-XF-AAN5-01A",0.158466273260651,-0.340078636704721,-0.441203908304855,-0.44865127899591
"TCGA-ZF-AA54-01A",-0.295452124491294,0.618910188324752,-0.363658162867943,5.86592561957343
"TCGA-UY-A78K-01A",-0.289160186304633,1.21459781819273,-0.377107964967229,-0.0442380685248531
"TCGA-DK-AA6L-01A",-0.40856576425924,-0.331050102796922,-0.452264276697858,-0.572475961506324
"TCGA-FD-A3B6-01A",-0.433104323187216,-0.32737430158508,-0.232904409126161,-0.515311079678386
"TCGA-FD-A3SS-01A",0.214451682431754,-0.334884835546747,-0.224036407742016,-0.435235961547112
"TCGA-BL-A5ZZ-01A",-0.234587253052985,-0.250200814390793,1.65844321941454,1.48966672365474
"TCGA-GU-AATQ-01A",-0.446587047872917,0.268343892040207,-0.196693403474235,-0.430937850131477
"TCGA-UY-A78O-01A",1.1572151552167,-0.332437697378554,-0.398292634940465,0.0327371995551452
"TCGA-BT-A20X-01A",-0.40304426748319,2.62969978139887,-0.376467498200597,0.595008320200412
"TCGA-ZF-AA5P-01A",-0.211088790029334,-0.332202356447308,2.41567200427181,0.0495389078162615
"TCGA-ZF-AA5H-01A",-0.415589621785981,-0.335173153657321,3.70892220612629,-0.495487668846278
"TCGA-DK-AA6R-01A",-0.446587047872917,-0.317481832137469,-0.373831731122531,-0.497428331273337
"TCGA-GU-A42Q-01A",-0.409631541543919,0.0311691353559824,-0.387601766605134,2.99921555114574
"TCGA-GC-A3WC-01A",0.352360694931214,3.72897625245677,-0.0860897195442047,-0.155077244728032
"TCGA-XF-AAN2-01A",-0.421932922733349,-0.340078636704721,-0.466822578970163,-0.535681522872484
"TCGA-4Z-AA87-01A",-0.407230332480846,-0.309137926393295,-0.479227927573095,-0.401372053423932
"TCGA-BT-A42F-01A",-0.342089511213644,-0.321190234690436,-0.379251065301731,1.25522428280195
"TCGA-BL-A0C8-01A",0.0181175296275889,-0.340078636704721,-0.419181704867562,-0.227493909791448
"TCGA-XF-AAMW-01A",-0.255774391844801,2.00518034047349,3.36159215191394,3.42251440268549
"TCGA-YC-A9TC-01A",-0.446587047872917,0.00396739135482766,0.643549727673502,-0.374411172725861
"TCGA-FD-A3B5-01A",-0.382627570101986,-0.0613371700861467,3.7237022084332,-0.545176441727021
"TCGA-DK-AA71-01A",-0.446587047872917,-0.174321192922403,0.350166681881372,-0.492635285815902
"TCGA-CU-A0YR-01A",-0.429290638204689,-0.315688758375595,-0.410018103437279,-0.324527031144407
