sample,DSC1,MDGA2,DLX1,GGT2,GNLY,UGT2B4
TCGA-2F-A9KP-01A,0.01352,0,0.1143,0.07171,0.1953,0.05712
TCGA-4Z-AA7M-01A,0.03434,0.1002,0,0.06138,0.2038,0.02951
TCGA-4Z-AA7O-01A,0.1088,0,0,0.0898,0.6762,0.05192
TCGA-4Z-AA7R-01A,0.05011,0.08803,0.03364,0.01308,0.1175,0.08495
TCGA-4Z-AA7S-01A,0.007261,0.003775,0.04191,0.01308,0.1727,0
TCGA-4Z-AA7Y-01A,0.03751,0,0.06085,0.1435,0.3313,0
TCGA-4Z-AA82-01A,0.124,0,0.5178,0.01368,2.022,0
TCGA-4Z-AA84-01A,0.07733,0.01232,0.00925,0.097,1.061,0
TCGA-4Z-AA89-01A,0.03521,0,0.01037,0,0.3814,0
TCGA-5N-A9KI-01A,0.0067,0,0.01561,0,0.8954,0.01148
TCGA-BL-A13I-01A,0.003317,0.09738,1.418,0,1.299,0.1029
TCGA-BL-A13I-01B,0.03391,0.8794,1.059,0,1.144,0.0577
TCGA-BL-A13J-01A,3.107,0.009315,0.04287,0.05323,0.6355,0.006164
TCGA-BL-A13J-01B,2.181,0.01397,0,0.1171,1.116,0.02302
TCGA-BL-A3JM-01A,0.07417,0.004931,1.501,0,0.8281,0.008139
TCGA-BL-A5ZZ-01A,1.869,0.0338,0.8692,0,2.692,0.1193
TCGA-BT-A0S7-01A,2.027,0.08232,0,0,0.1585,0
TCGA-BT-A20N-01A,0.6672,0,0.2573,0.0784,0.3917,0.01524
TCGA-BT-A20O-01A,0.02498,0.6984,1.535,0.05938,1.572,0.02854
TCGA-BT-A20P-01A,0.02424,0,0.2605,0.06468,0.307,0.04134
TCGA-BT-A20Q-01A,0,0,0.09094,0.1261,0.5675,0
TCGA-BT-A20T-01A,0.1034,0.006174,0.01385,0,1.256,0
TCGA-BT-A20U-01A,0.2726,0,0.4112,0.3728,0.9375,0.05414
TCGA-BT-A2LA-01A,0.09681,0.3245,0.2732,0.008578,0.2506,0.1913
TCGA-BT-A2LD-01A,0.1768,0,0.1342,0,0.4795,0
TCGA-BT-A3PH-01A,0.005034,0,0.01757,0,0.1022,0.05101
TCGA-BT-A3PK-01A,0.1826,0,0.2729,0.006613,1.198,0
TCGA-BT-A42C-01A,0.1013,0,0.2524,0.4584,0.2674,0.04433
TCGA-C4-A0EZ-01A,0.1629,0.003312,0.04409,0.04538,0.7867,0.1557
TCGA-C4-A0F0-01A,0,0,2.021,0,1.602,0
TCGA-C4-A0F1-01A,0.07312,0.8576,0,0,2.029,0.01069
TCGA-C4-A0F6-01A,0.1507,0,0.5902,0.9954,0.313,0.01935
TCGA-C4-A0F7-01A,5.019,0,0.8213,0,0.4724,0
TCGA-CF-A1HR-01A,0.02653,0,0.04112,0.03186,1.311,0
TCGA-CF-A1HS-01A,0.3343,0.004535,0.1912,0,1.001,0
TCGA-CF-A27C-01A,0.02244,0,0.00659,0.01017,0.26,0
TCGA-CF-A3MH-01A,0,0,0.01981,0.02039,0.1511,0
TCGA-CF-A3MI-01A,0.01298,0,0.01516,0.3252,0.3035,0
TCGA-CF-A47S-01A,0.006771,0,0.007907,0.408,0.6322,0.005811
TCGA-CF-A47T-01A,0,0.003861,0.02586,0.1649,0.1671,0
TCGA-CF-A47W-01A,0,0,0,0.179,0.7946,0
TCGA-CF-A47X-01A,0,0.005024,0.07179,0.2631,0.08561,0
TCGA-CF-A47Y-01A,0,0,0.02129,0.02192,0.2724,0
TCGA-CF-A5U8-01A,0.007599,0,0.03517,0.2401,0.3572,0
TCGA-CF-A5UA-01A,0,0,0.09522,0.1097,0.3006,0.0239
TCGA-CF-A9FL-01A,0.05979,0,0.3469,0,0.3409,0.01303
TCGA-CU-A0YO-01A,0.06019,0,0.01784,0.02746,1.108,0
TCGA-CU-A3KJ-01A,0.2837,0.1955,0.0142,0.07167,1.558,0.01391
TCGA-CU-A3QU-01A,0.03789,0.002845,0.01909,0,0.7721,0
TCGA-CU-A3YL-01A,0.006907,0,0.175,0.5277,0.4677,0.02357
TCGA-CU-A5W6-01A,0.1639,0.1996,0.02512,0.1487,0.761,0.2912
TCGA-DK-A1A3-01A,0.007845,0,0.02731,0,0.7931,0.03994
TCGA-DK-A1A5-01A,0.1538,0,0.01144,0,0.205,0.008414
TCGA-DK-A1A6-01A,0.01086,0,0.01897,0.01953,1.377,0.009321
TCGA-DK-A1A7-01A,0.01085,0.03076,0.03766,0.009789,0.2891,0.01856
TCGA-DK-A1AA-01A,0.04715,0,0.113,0,1.35,0
TCGA-DK-A1AB-01A,0.06172,0.002337,0.005252,0,1.041,0.01538
TCGA-DK-A1AC-01A,0.02142,0.07636,0.01878,0.01934,1.21,0.01839
TCGA-DK-A2HX-01A,0.01459,0,0.01703,0,0.3772,0
TCGA-DK-A2I2-01A,0.03272,0.4483,0.2217,0.06993,1.835,0
TCGA-DK-A2I6-01A,0,0,0.01047,0.02414,0.2534,0
TCGA-DK-A3IK-01A,0.01105,0.005749,0.01931,0.1698,0.7562,0.06514
TCGA-DK-A3IL-01A,0.02096,0,0.01635,0.06213,0.1584,0
TCGA-DK-A3IM-01A,1.979,0,0,0,0.482,0
TCGA-DK-A3IQ-01A,0.148,0,0.03461,0,0.2105,0.02043
TCGA-DK-A3IS-01A,0,0.0159,0.01788,0,0.2561,0.008782
TCGA-DK-A3IT-01A,0.8612,0,0,0,0.532,0
TCGA-DK-A3X1-01A,0,0,0.0489,0.1227,0.412,0
TCGA-DK-A3X2-01A,2.274,0.02271,0.2617,0.07743,0.03484,0
TCGA-DK-A6B1-01A,0.03727,0.1438,0.006287,0,0.3233,0.03655
TCGA-DK-AA6L-01A,0.008982,0.009326,0.6022,0.01617,2,0
TCGA-DK-AA6P-01A,0.009046,0.08685,0.428,0.09504,0.4815,0
TCGA-DK-AA6T-01A,0.008105,0,0.09196,0.02904,0.6194,0.01388
TCGA-DK-AA6W-01A,0.1529,0.1781,2.922,0.01524,0.6645,0
TCGA-DK-AA6X-01A,0.01285,0,0.3228,0.04583,0.7014,0
TCGA-DK-AA71-01A,0.08042,0.01424,0.1527,0.08061,0.6266,0
TCGA-DK-AA75-01A,0.5444,0.04638,0.04475,0.4574,0.3239,0.02208
TCGA-DK-AA76-01A,0.03383,0.0904,0.09665,0.06047,0.02376,0
TCGA-DK-AA77-01A,0.007669,0,0.04423,0,0.6953,0
TCGA-E5-A4TZ-01A,0.8199,0.04809,0.03622,0.1178,0.5379,0.01785
TCGA-E7-A3Y1-01A,0.00727,0,0.0502,0.1016,1.077,0.0248
TCGA-E7-A4XJ-01A,0.08431,0,0.8073,0.4068,0.3034,0
TCGA-E7-A5KF-01A,0.006464,0,0.01506,0.4138,0.06213,0.01107
TCGA-E7-A677-01A,0.05974,0.00226,0.3507,0.5383,0.3645,0
TCGA-E7-A6MD-01A,0,0.01219,0.02729,0,1.037,0.06592
TCGA-E7-A6ME-01A,0,0.004424,0.5004,0.04547,1.099,0.04327
TCGA-E7-A6MF-01A,0.09236,0,0.008545,0,0.3931,0.01253
TCGA-E7-A85H-01A,0.08889,0,0,0.3068,0.7553,0
TCGA-E7-A8O8-01A,0,0,0.1625,0.2326,0.4856,0
TCGA-E7-A97Q-01A,0.03672,0.003857,0.05122,0,0.59,0
TCGA-FD-A3B3-01A,1.201,0.6537,0.1714,0.1126,4.732,0
TCGA-FD-A3B5-01A,1.508,1.008,0.06396,0.1565,0.3962,0.01736
TCGA-FD-A3B7-01A,0.1389,0.4493,0.161,0.07878,1.692,0
TCGA-FD-A3N5-01A,4.8,0.00492,1.078,0.07509,2.183,0.0162
TCGA-FD-A3N6-01A,2.591,0.002505,0.7182,0.008686,1.608,0.008261
TCGA-FD-A3SJ-01A,0.01881,0.1778,0.0165,0.3807,0.3355,0
TCGA-FD-A3SL-01A,0.02727,0.003569,0.03966,0.1191,0.5665,0
TCGA-FD-A3SM-01A,0.02474,0.01611,0.0145,0,0.1012,0
TCGA-FD-A3SP-01A,0.07278,0.009657,0.3641,0.01118,1.324,0.04208
TCGA-FD-A3SQ-01A,0.02652,0,0.01555,0.01203,0.9032,0
TCGA-FD-A3SR-01A,0.1113,0.02453,0,0,0.7085,0
TCGA-FD-A3SS-01A,2.619,0.002685,0.01204,0.09925,0.3576,0
TCGA-FD-A43X-01A,0.005763,0.002995,0.07876,0.02069,0.4947,0
TCGA-FD-A43Y-01A,0.2488,0.6828,0.3683,0.03127,2.399,0.01495
TCGA-FD-A5BR-01A,0.1684,0.004209,0.1949,0.04329,0.989,0.01387
TCGA-FD-A5BV-01A,0.04213,0.0704,0.4008,0,0.7072,0
TCGA-FD-A5BX-01A,0,0.004346,1.631,0,1.752,0
TCGA-FD-A5BY-01A,0.1712,0,0.1547,0,1.241,0.0238
TCGA-FD-A5BZ-01A,0.4527,0,0.04017,0.07657,0.2868,0.05862
TCGA-FD-A5C0-01A,2.649,0,0,0,0.3191,0.02347
TCGA-FD-A62O-01A,0.007715,0,0.146,0.5598,0.1923,0
TCGA-FD-A62P-01A,1.708,0,0,0,1.505,0
TCGA-FD-A62S-01A,0.1731,0.01268,0.74,0,0.7621,0.01048
TCGA-FD-A6TC-01A,0.2731,0,0.01519,0.01174,0.2892,0
TCGA-FD-A6TF-01A,0.6458,0.01336,0,0.02314,0.708,0.02202
TCGA-FD-A6TG-01A,0.0118,0.003074,0.0873,0.02123,1.025,0
TCGA-FD-A6TH-01A,0.834,0,0.05898,0.04985,0.6944,0.02392
TCGA-FD-A6TI-01A,0.0563,0,0.06555,0.009387,0.4907,0.05276
TCGA-FD-A6TK-01A,0.02431,0.1481,0.5622,0.01102,2.44,0
TCGA-FJ-A3Z7-01A,0.0847,0.07255,0.05007,0.04429,0.8367,0
TCGA-FJ-A871-01A,0,0,0.9864,0,0.1737,0
TCGA-FT-A3EE-01A,0.07452,0,0.8935,0.01373,0.1666,0
TCGA-G2-A2EC-01A,0.03454,0.003021,0.05998,0.05162,1.284,0
TCGA-G2-A2EK-01A,0.005295,0,0.03066,0.02843,0.2577,0.07104
TCGA-G2-A2EL-01A,0.0828,0.304,0.3192,0.009018,1.413,0.2301
TCGA-G2-A3IB-01A,3.611,0.002824,0.1335,0.1224,1.337,0
TCGA-G2-A3VY-01A,0.4383,0.0167,0.02498,0.01933,0.109,0
TCGA-G2-AA3C-01A,0,0.1436,0.9255,0,1.858,0
TCGA-G2-AA3D-01A,0.06938,0,0.2376,0.01418,0.2804,0.02685
TCGA-GC-A3BM-01A,0.07741,0,0.5685,0.05858,0.2545,0.01133
TCGA-GC-A3OO-01A,0.0355,0,0,0.02571,0.4972,0
TCGA-GC-A3RB-01A,0.03038,0,0.4659,0.02744,0.9805,0
TCGA-GC-A3RC-01A,1.495,0,0.6568,0,3.665,0
TCGA-GC-A3RD-01A,1.207,0.007192,0.03208,0.1316,0.5374,0.02363
TCGA-GC-A3YS-01A,0.3013,0.6574,0.1651,0.1232,3.221,0.01218
TCGA-GC-A4ZW-01A,0.008031,0.004175,0,0,0.919,0
TCGA-GD-A2C5-01A,0,0.006258,0.03485,0,0.4347,0
TCGA-GD-A3OP-01A,0.07224,0.002562,0.0229,0.008884,0.488,0.01685
TCGA-GD-A3OQ-01A,0.591,0.002595,0.1178,0.04445,0.6578,0
TCGA-GD-A3OS-01A,0.04116,0.1443,0.9611,0.0249,0.7483,0.00794
TCGA-GU-A42P-01A,0.01492,0.1734,0.01742,0.1539,0.1143,0.02551
TCGA-GU-A42Q-01A,0.04029,0.5686,0.0601,0.02091,1.389,0.00998
TCGA-GU-A42R-01A,0.3818,0.01369,0.947,0.4658,0.2544,0.0337
TCGA-GU-A763-01A,0,0,0.02277,0.01761,0.4204,0.01676
TCGA-GU-AATO-01A,0,0,0,0,1.069,0
TCGA-GU-AATQ-01A,0,0.1794,0.1565,0.02531,1.374,0
TCGA-GV-A3JZ-01A,0.08033,0.1999,0.0392,0.02607,1.076,0
TCGA-GV-A3QH-01A,0.01497,0.103,0.05181,0.07927,0.227,0
TCGA-GV-A3QI-01A,0.0827,0.1245,0.3513,1.272,0.1274,0
TCGA-GV-A40G-01A,0.005369,0.00279,0.1548,0.03831,0.7016,0
TCGA-H4-A2HO-01A,0.07217,0,0.1002,0.6025,0.4577,0
TCGA-H4-A2HQ-01A,0,0.003822,0.35,0.1272,0.4636,0.01259
TCGA-HQ-A2OE-01A,0.2255,0.01379,0.008881,0.2861,0.4463,0.03235
TCGA-HQ-A2OF-01A,0.04753,0,0.03977,0.04898,0.1642,0
TCGA-HQ-A5NE-01A,0.5433,0.1239,0.04219,0,0.7263,0
TCGA-K4-A3WU-01B,0.3011,0.002592,0.005826,0.121,0.9529,0.1153
TCGA-K4-A4AC-01A,0.08557,0.004155,1.134,0.02863,2.9,0
TCGA-K4-A6FZ-01A,0.1641,0.1549,0.2552,0.09479,1.959,0
TCGA-K4-A6MB-01A,2.088,0,0.2032,0,0.3501,0
TCGA-KQ-A41O-01A,0.008018,0,0.273,0.125,0.07671,0
TCGA-KQ-A41P-01A,0.00728,0,0.4751,0.126,0.6605,0.01247
TCGA-KQ-A41S-01A,0.02588,0.01013,0.0227,0,0.567,0.01116
TCGA-LT-A8JT-01A,0,0,0.371,0.02236,0.51,0.01067
TCGA-MV-A51V-01A,0,0.3538,0.02912,0.648,0.08,0
TCGA-PQ-A6FN-01A,0.1192,0.004294,0.3042,0.07285,1.374,0.01414
TCGA-R3-A69X-01A,0,0,0.02212,0.06728,0.815,0
TCGA-UY-A78L-01A,0.01774,0.003087,0.05458,0.2002,0.2018,0.01018
TCGA-UY-A78M-01A,0.02746,0,0.05559,0.493,0.1735,0
TCGA-UY-A9PD-01A,0.05575,0,0.0393,0.02037,0.3761,0.2
TCGA-XF-A8HB-01A,0.01131,0,0.151,0.03042,0.2808,0.1303
TCGA-XF-A8HC-01A,0.009127,0.004746,0.02123,0.1112,0.111,0.03108
TCGA-XF-A8HI-01A,0,0,0.07031,0.0546,0.7166,0
TCGA-XF-A9SH-01A,0.01233,0,0.02864,0.423,0.239,0
TCGA-XF-A9ST-01A,0.7603,0.004474,0.08799,0.03081,0.04753,0
TCGA-XF-A9SU-01A,0.02892,0,0.07749,0.118,0.6303,0
TCGA-XF-A9SV-01A,0.02826,0,0,0,0.1694,0
TCGA-XF-A9SW-01A,0,0.01506,0,0.05167,1.167,0.0248
TCGA-XF-A9SZ-01A,0.1237,0.02658,0.1066,0.01545,0.4865,0
TCGA-XF-A9T2-01A,0.1243,0.007468,3.586,0,1.429,0.02454
TCGA-XF-A9T4-01A,0.2979,0,1.034,0.01542,1.165,0.007354
TCGA-XF-A9T6-01A,0.07863,0,0.1774,0,0.945,0
TCGA-XF-AAMH-01A,0,0.1055,1.484,0,0.5015,0.012
TCGA-XF-AAMR-01A,0.01922,0,0.03351,0.0902,1.232,0
TCGA-XF-AAMT-01A,0.03652,0.1256,0.4588,0.01108,2.43,0
TCGA-XF-AAMW-01A,0.1772,0,0.205,0,0.8018,0
TCGA-XF-AAMY-01A,0.3853,0,0.08133,0.4097,0.3407,0
TCGA-XF-AAN0-01A,0.07196,0.002734,0.01226,0,1.48,0
TCGA-XF-AAN1-01A,0,0,0.01267,0.4804,0.498,0
TCGA-XF-AAN3-01A,0.0357,0.001443,0.03846,0,0.3538,0.009511
TCGA-XF-AAN7-01A,0,0.108,2.342,0,0.5333,0
TCGA-YF-AA3M-01A,0.0689,0.006094,0.06711,0,0.3232,0
TCGA-ZF-A9R1-01A,0.0152,0.00396,0.9835,0.06732,0.478,0.01305
TCGA-ZF-A9R2-01A,0.008596,0,0.266,0.2296,0.1705,0
TCGA-ZF-A9R3-01A,0.0185,0.006432,0.007234,0.01116,0.4515,0.09282
TCGA-ZF-A9R5-01A,0,0,0.03456,0,1.277,0
TCGA-ZF-A9RE-01A,0.06555,0.1049,0.009761,0.1162,0.5891,0.09734
TCGA-ZF-A9RL-01A,0.0256,0,0.05911,0.45,0.2125,0.0147
TCGA-ZF-AA4N-01A,0,0,1.939,0.2313,1.317,0.1146
TCGA-ZF-AA4X-01A,0.08291,0.003688,0.03286,0.06278,0.2039,0.1284
TCGA-ZF-AA54-01A,0.04841,0.004254,0.421,0,1.435,0
TCGA-ZF-AA56-01A,0.1702,0,0.1684,0.03714,1.533,0
TCGA-ZF-AA5N-01A,0.1667,0,0.4105,0.09264,0.5658,0
