,beta,HR (95% CI for HR),wald.test,p.value
EMP1,0.3,1.4 (1.2-1.5),26,2.80E-07
MAP2,0.37,1.5 (1.2-1.7),21,4.00E-06
IGF2BP2.AS1,1.3,3.8 (2.1-6.6),21,4.10E-06
DSC1,0.42,1.5 (1.3-1.8),21,4.60E-06
FER1L4,-0.17,0.84 (0.79-0.91),20,6.50E-06
LINC00626,1.1,3 (1.9-4.9),20,6.50E-06
TRIM16L,0.31,1.4 (1.2-1.6),19,1.60E-05
ANXA1,0.19,1.2 (1.1-1.3),18,2.20E-05
FBP1,-0.16,0.85 (0.79-0.92),18,2.60E-05
FOXC2.AS1,0.6,1.8 (1.4-2.4),18,2.80E-05
NEFL,0.26,1.3 (1.1-1.5),17,3.00E-05
CD109,0.23,1.3 (1.1-1.4),17,3.20E-05
CES1,0.13,1.1 (1.1-1.2),17,3.50E-05
KANK4,0.35,1.4 (1.2-1.7),16,4.90E-05
CTSE,-0.17,0.85 (0.78-0.92),16,5.60E-05
ADAM23,0.26,1.3 (1.1-1.5),15,9.00E-05
CYP4F35P,-0.58,0.56 (0.42-0.75),15,9.30E-05
SCEL,0.19,1.2 (1.1-1.3),15,9.80E-05
FOXC2,0.28,1.3 (1.2-1.5),15,1.00E-04
SERPINB2,0.14,1.1 (1.1-1.2),15,1.00E-04
TREML4,2.4,11 (3.2-35),15,1.00E-04
RPL37P1,-0.41,0.67 (0.54-0.82),15,0.00011
LINC00536,0.65,1.9 (1.4-2.7),15,0.00011
TM4SF1,0.17,1.2 (1.1-1.3),15,0.00011
ECM1,0.2,1.2 (1.1-1.4),15,0.00012
SERPINB12,0.44,1.6 (1.2-2),15,0.00012
EGFR,0.19,1.2 (1.1-1.3),15,0.00013
FAM126A,0.42,1.5 (1.2-1.9),14,0.00017
SH3BP5.AS1,-0.49,0.61 (0.48-0.79),14,0.00018
SMAD6,-0.38,0.68 (0.56-0.84),14,0.00019
SLC19A3,0.45,1.6 (1.2-2),14,2.00E-04
FN1,0.14,1.1 (1.1-1.2),14,2.00E-04
GPR37,0.32,1.4 (1.2-1.6),14,2.00E-04
LUCAT1,0.49,1.6 (1.3-2.1),14,0.00022
LINC01508,0.47,1.6 (1.2-2.1),14,0.00023
TTLL3,-0.4,0.67 (0.54-0.83),14,0.00023
CYP4F29P,-0.27,0.76 (0.66-0.88),13,0.00026
AKR1C7P,0.46,1.6 (1.2-2),13,3.00E-04
ADCY7,0.38,1.5 (1.2-1.8),13,0.00033
PAPPA,0.45,1.6 (1.2-2),13,0.00033
GBX2,0.95,2.6 (1.5-4.3),13,0.00034
PTPRR,-0.23,0.79 (0.7-0.9),13,0.00036
ZNF432,-0.37,0.69 (0.56-0.85),13,0.00036
TCHH,0.36,1.4 (1.2-1.8),13,0.00037
SRXN1,0.39,1.5 (1.2-1.8),13,0.00038
OVGP1,-0.32,0.72 (0.6-0.87),13,4.00E-04
TREML3P,0.42,1.5 (1.2-1.9),13,4.00E-04
CRNN,0.24,1.3 (1.1-1.5),12,0.00043
TSPAN8,-0.25,0.78 (0.68-0.9),12,0.00044
HNF1B,-0.22,0.81 (0.71-0.91),12,0.00046
IL9R,-0.7,0.49 (0.33-0.73),12,0.00047
GOLT1A,-0.16,0.85 (0.78-0.93),12,0.00048
MDGA2,1.7,5.6 (2.1-15),12,0.00056
CLDN10,0.39,1.5 (1.2-1.8),12,0.00057
HOXB3,-0.27,0.76 (0.65-0.89),12,0.00061
SLC2A14,1,2.8 (1.6-5.1),12,0.00061
C11orf87,0.36,1.4 (1.2-1.8),12,0.00068
TNFAIP2,-0.17,0.84 (0.76-0.93),12,0.00069
TMEM51.AS1,-0.4,0.67 (0.53-0.84),11,7.00E-04
GTF2IRD2,-1.1,0.32 (0.17-0.62),11,0.00073
ELOVL4,0.26,1.3 (1.1-1.5),11,0.00073
CYP26B1,0.23,1.3 (1.1-1.4),11,0.00076
SOSTDC1,0.24,1.3 (1.1-1.5),11,0.00076
DLX1,0.45,1.6 (1.2-2),11,0.00079
CYP2C8,-0.75,0.47 (0.3-0.73),11,8.00E-04
SLC13A5,0.65,1.9 (1.3-2.8),11,0.00092
DSG1,0.17,1.2 (1.1-1.3),11,0.00097
SOST,0.19,1.2 (1.1-1.4),11,0.001
ZNF44,-0.33,0.72 (0.59-0.88),11,0.001
IL31RA,0.53,1.7 (1.2-2.3),11,0.0011
PLIN5,-0.25,0.78 (0.68-0.91),11,0.0011
ATP1A4,-0.25,0.78 (0.67-0.9),11,0.0011
COLQ,-0.68,0.51 (0.34-0.76),11,0.0011
TENM3,0.3,1.4 (1.1-1.6),11,0.0011
SLC7A11,0.17,1.2 (1.1-1.3),11,0.0012
LINC00942,0.18,1.2 (1.1-1.3),10,0.0012
KCNH4,-0.71,0.49 (0.32-0.76),10,0.0012
KRT1,0.1,1.1 (1-1.2),10,0.0013
CYP4F12,-0.16,0.85 (0.77-0.94),10,0.0013
POLR3G,0.35,1.4 (1.1-1.8),10,0.0013
OSBPL6,0.51,1.7 (1.2-2.3),10,0.0013
CASQ1,-0.18,0.84 (0.75-0.93),10,0.0014
CES1P1,0.37,1.4 (1.2-1.8),10,0.0014
UCHL1,0.12,1.1 (1-1.2),10,0.0014
PPFIBP2,-0.19,0.83 (0.73-0.93),10,0.0015
DCBLD2,0.21,1.2 (1.1-1.4),10,0.0015
ST3GAL5,-0.19,0.83 (0.74-0.93),10,0.0016
SLC47A1,0.39,1.5 (1.2-1.9),10,0.0016
CLDN6,0.2,1.2 (1.1-1.4),9.8,0.0017
CFAP44,-0.44,0.64 (0.49-0.85),9.9,0.0017
CDK6,0.21,1.2 (1.1-1.4),9.7,0.0018
WASIR2,-0.43,0.65 (0.5-0.85),9.6,0.0019
TMC7,-0.24,0.79 (0.68-0.92),9.7,0.0019
COL5A3,0.2,1.2 (1.1-1.4),9.7,0.0019
CRTAC1,-0.14,0.87 (0.79-0.95),9.6,0.002
SERPINB7,0.16,1.2 (1.1-1.3),9.5,0.002
DEGS1,0.21,1.2 (1.1-1.4),9.6,0.002
KRTAP2.3,0.33,1.4 (1.1-1.7),9.5,0.0021
PTTG2,-1.1,0.35 (0.18-0.68),9.4,0.0021
SERPINB10,0.97,2.6 (1.4-4.9),9.4,0.0021
SHROOM1,-0.22,0.8 (0.69-0.92),9.5,0.0021
TNC,0.12,1.1 (1-1.2),9.3,0.0023
ZNF443,-0.37,0.69 (0.54-0.87),9.3,0.0023
DUSP2,-0.16,0.85 (0.77-0.94),9.2,0.0024
AIFM3,-0.3,0.74 (0.61-0.9),9.2,0.0024
HSD17B2,-0.16,0.85 (0.77-0.95),9.1,0.0025
CYP4Z2P,-0.32,0.73 (0.59-0.89),9.2,0.0025
ARSI,0.19,1.2 (1.1-1.4),9.1,0.0026
BARX2,0.14,1.2 (1.1-1.3),9,0.0027
AATBC,-0.17,0.84 (0.75-0.94),8.9,0.0028
SPINK1,-0.06,0.94 (0.91-0.98),9,0.0028
TBX1,-0.14,0.87 (0.8-0.95),8.8,0.003
TUBAL3,0.36,1.4 (1.1-1.8),8.8,0.0031
TRPC6P,-1.9,0.15 (0.043-0.53),8.6,0.0033
LINC00656,1.5,4.5 (1.7-12),8.6,0.0033
MAGIX,-0.28,0.76 (0.63-0.91),8.6,0.0033
PLEKHH1,-0.27,0.76 (0.64-0.91),8.6,0.0034
LINC01582,1.6,4.9 (1.7-14),8.6,0.0034
ZNF436.AS1,-0.34,0.71 (0.57-0.9),8.5,0.0035
NTSR1,0.31,1.4 (1.1-1.7),8.5,0.0035
PLA2G2F,-0.11,0.9 (0.84-0.97),8.5,0.0036
SPTA1,0.77,2.2 (1.3-3.7),8.5,0.0036
ME1,0.19,1.2 (1.1-1.4),8.5,0.0036
TGFBI,0.12,1.1 (1-1.2),8.4,0.0037
NBPF11,-0.41,0.66 (0.5-0.87),8.4,0.0037
LINC00705,1.1,3 (1.4-6.5),8.4,0.0038
AOC2,-0.27,0.76 (0.63-0.92),8.4,0.0038
SRCIN1,-0.26,0.77 (0.65-0.92),8.3,0.0039
GFPT2,0.17,1.2 (1.1-1.3),8.3,0.004
MIR6071,-0.58,0.56 (0.38-0.83),8.2,0.0041
ACOXL,-0.21,0.81 (0.7-0.93),8.2,0.0042
FABP6,-0.12,0.88 (0.81-0.96),8.2,0.0042
C6orf15,0.16,1.2 (1.1-1.3),8.2,0.0043
MFAP3L,-0.21,0.81 (0.7-0.94),8.1,0.0044
B4GALNT1,0.27,1.3 (1.1-1.6),8,0.0045
LYPD6,-0.22,0.8 (0.69-0.93),8.1,0.0045
ZNF32.AS1,-0.54,0.58 (0.4-0.85),8.1,0.0045
FSIP2,-0.9,0.41 (0.22-0.76),8,0.0046
CHST15,0.19,1.2 (1.1-1.4),8,0.0046
ACP6,-0.25,0.78 (0.65-0.93),8,0.0046
RBP1,0.13,1.1 (1-1.3),8,0.0047
ZNF493,-0.48,0.62 (0.44-0.86),8,0.0047
SMIM23,-1.5,0.23 (0.08-0.63),8,0.0047
PCP2,-0.27,0.76 (0.63-0.92),7.9,0.0048
MIR6784,-0.25,0.78 (0.65-0.93),7.9,0.0049
PRR16,0.27,1.3 (1.1-1.6),7.9,0.0049
TBX3,-0.11,0.9 (0.83-0.97),7.9,0.005
LRFN2,-0.46,0.63 (0.46-0.87),7.9,0.005
RHBG,-0.16,0.85 (0.76-0.95),7.9,0.005
ATOH8,-0.21,0.81 (0.7-0.94),7.8,0.0051
SULT1C2,-0.61,0.54 (0.35-0.83),7.8,0.0051
HHIPL2,0.36,1.4 (1.1-1.8),7.8,0.0052
GATA3.AS1,-0.14,0.87 (0.79-0.96),7.8,0.0052
FLG,0.32,1.4 (1.1-1.7),7.8,0.0052
ENKUR,0.76,2.1 (1.3-3.6),7.8,0.0053
TMPRSS11A,0.2,1.2 (1.1-1.4),7.7,0.0054
KLHDC7A,-0.13,0.88 (0.8-0.96),7.7,0.0055
ABCA4,0.18,1.2 (1.1-1.4),7.7,0.0056
DSC2,0.13,1.1 (1-1.3),7.7,0.0056
TOX3,-0.13,0.88 (0.81-0.96),7.7,0.0057
IGFL2,0.16,1.2 (1-1.3),7.6,0.0057
DSG3,0.08,1.1 (1-1.1),7.6,0.0058
TLL1,0.3,1.3 (1.1-1.7),7.6,0.0058
HS3ST3A1,0.27,1.3 (1.1-1.6),7.6,0.0059
KCTD16,-2.2,0.11 (0.023-0.53),7.6,0.006
TTC6,-0.57,0.57 (0.38-0.85),7.5,0.006
STX16.NPEPL1,-0.66,0.52 (0.32-0.83),7.6,0.006
ATF7IP2,-0.22,0.81 (0.69-0.94),7.5,0.0061
RFX8,0.45,1.6 (1.1-2.1),7.5,0.0061
MCF2L,-0.29,0.75 (0.61-0.92),7.5,0.0062
ACSM6,-0.24,0.79 (0.66-0.93),7.4,0.0064
BEND5,-0.22,0.8 (0.69-0.94),7.4,0.0064
DEGS2,-0.15,0.86 (0.77-0.96),7.4,0.0064
UGT2B28,-0.76,0.47 (0.27-0.81),7.4,0.0065
SPRR2A,0.074,1.1 (1-1.1),7.4,0.0066
PMEPA1,0.13,1.1 (1-1.3),7.4,0.0066
WNT11,0.15,1.2 (1-1.3),7.2,0.0072
TSPAN7,0.13,1.1 (1-1.3),7.2,0.0072
PPP2R2C,0.2,1.2 (1.1-1.4),7.2,0.0073
KRTDAP,0.071,1.1 (1-1.1),7.2,0.0073
ZNF91,-0.29,0.75 (0.61-0.93),7.2,0.0073
AGBL1.AS1,2.7,16 (2.1-120),7.2,0.0075
NOX1,-0.34,0.71 (0.55-0.91),7.2,0.0075
SSTR5.AS1,-0.62,0.54 (0.34-0.85),7.1,0.0076
CCDC13.AS1,-1.3,0.26 (0.1-0.7),7.1,0.0077
TUBB6,0.13,1.1 (1-1.2),7,0.0081
MIR548AN,-0.25,0.78 (0.65-0.94),7,0.0082
ADAMTS14,0.21,1.2 (1.1-1.4),7,0.0082
RPSAP52,0.33,1.4 (1.1-1.8),7,0.0083
GATA3,-0.092,0.91 (0.85-0.98),6.9,0.0086
DSC3,0.082,1.1 (1-1.2),6.9,0.0086
APCDD1L,0.19,1.2 (1-1.4),6.9,0.0088
GGT2,-0.54,0.58 (0.39-0.87),6.8,0.0089
PNLIPRP3,0.35,1.4 (1.1-1.8),6.8,0.0089
CTSH,-0.14,0.87 (0.78-0.97),6.8,0.0091
PWRN1,-0.59,0.55 (0.35-0.86),6.8,0.0092
LEAP2,-0.26,0.77 (0.63-0.94),6.8,0.0093
CYP4F8,-0.11,0.89 (0.82-0.97),6.7,0.0094
FOXA1,-0.1,0.9 (0.83-0.97),6.7,0.0094
RHCG,0.085,1.1 (1-1.2),6.7,0.0096
BPIFA2,-0.76,0.47 (0.26-0.83),6.7,0.0096
B4GALNT2,0.55,1.7 (1.1-2.6),6.7,0.0096
PTPRZ1,0.15,1.2 (1-1.3),6.7,0.0097
GNLY,-0.15,0.86 (0.77-0.96),6.7,0.0097
PPARG,-0.099,0.91 (0.84-0.98),6.7,0.0098
KRT72,0.35,1.4 (1.1-1.8),6.7,0.0098
S100A10,0.13,1.1 (1-1.3),6.7,0.0099
ARHGEF4,0.18,1.2 (1-1.4),6.6,0.0099
BTBD16,-0.09,0.91 (0.85-0.98),6.6,0.01
FAM3B,-0.095,0.91 (0.85-0.98),6.6,0.01
UGT2B4,-1.4,0.24 (0.084-0.72),6.6,0.01
SSTR5,-0.66,0.52 (0.31-0.85),6.6,0.01
MOGAT2,-0.25,0.78 (0.64-0.94),6.5,0.011
NPAP1,-1.6,0.2 (0.06-0.69),6.5,0.011
SULF2,0.11,1.1 (1-1.2),6.5,0.011
CGB5,0.15,1.2 (1-1.3),6.4,0.011
ANXA2,0.19,1.2 (1-1.4),6.5,0.011
GNB4,0.21,1.2 (1-1.4),6.5,0.011
IYD,-0.69,0.5 (0.29-0.85),6.4,0.011
SSH3,-0.16,0.85 (0.75-0.96),6.5,0.011
SIGLEC15,-0.19,0.83 (0.72-0.96),6.4,0.012
TBX2.AS1,-0.11,0.89 (0.82-0.98),6.3,0.012
PCSK9,0.15,1.2 (1-1.3),6.2,0.012
MYBPH,0.22,1.2 (1-1.5),6.3,0.012
PPIAP26,0.72,2.1 (1.2-3.6),6.4,0.012
TLE2,-0.12,0.88 (0.8-0.97),6.3,0.012
SLC16A1,0.11,1.1 (1-1.2),6.2,0.013
TEKT5,-0.27,0.76 (0.61-0.94),6.2,0.013
PGLYRP3,0.13,1.1 (1-1.3),6.1,0.013
C2orf66,-0.63,0.53 (0.32-0.87),6.2,0.013
IPPK,0.3,1.4 (1.1-1.7),6.2,0.013
MMEL1,-0.33,0.72 (0.56-0.93),6.2,0.013
TMEM178A,-0.3,0.74 (0.59-0.94),6.2,0.013
RALGPS1,-0.31,0.73 (0.57-0.94),6.2,0.013
FAM225B,1.3,3.5 (1.3-9.5),6.1,0.013
NEIL1,-0.24,0.79 (0.65-0.95),6.2,0.013
DHRS2,-0.057,0.94 (0.9-0.99),6,0.014
RPS3AP53,-1.1,0.35 (0.15-0.81),6,0.014
ARHGAP6,-0.29,0.75 (0.6-0.94),6,0.014
KLF15,-0.23,0.8 (0.67-0.96),6,0.014
LINC00893,-0.49,0.62 (0.42-0.91),6,0.014
CASC22,-0.25,0.78 (0.64-0.95),6,0.015
SDR9C7,0.17,1.2 (1-1.4),5.9,0.015
PWAR1,-5.1,0.0058 (9.1e-05-0.37),5.9,0.015
CAV1,0.11,1.1 (1-1.2),5.9,0.015
MT1A,0.14,1.1 (1-1.3),5.9,0.015
STX19,0.23,1.3 (1-1.5),5.9,0.015
PIK3C2B,-0.19,0.83 (0.72-0.96),6,0.015
SPRR2D,0.075,1.1 (1-1.1),5.8,0.016
KRT24,0.11,1.1 (1-1.2),5.8,0.016
TEAD4,0.17,1.2 (1-1.4),5.8,0.016
SNCG,-0.071,0.93 (0.88-0.99),5.8,0.016
GPR1,0.21,1.2 (1-1.5),5.8,0.016
DDN,0.43,1.5 (1.1-2.2),5.8,0.016
RNU6.1065P,-0.53,0.59 (0.39-0.91),5.8,0.016
BHMT,-0.089,0.91 (0.85-0.98),5.7,0.017
SPHK1,0.13,1.1 (1-1.3),5.7,0.017
ZNF552,-0.19,0.83 (0.71-0.97),5.7,0.017
SPANXC,0.22,1.2 (1-1.5),5.7,0.017
CAPN5,-0.12,0.88 (0.8-0.98),5.7,0.017
SGK2,-0.16,0.86 (0.75-0.97),5.7,0.017
ZNF440,-0.19,0.83 (0.71-0.97),5.7,0.017
TGFB2.AS1,0.32,1.4 (1.1-1.8),5.7,0.017
GDF7,-0.28,0.76 (0.6-0.95),5.6,0.018
ALDH3A1,0.077,1.1 (1-1.2),5.6,0.018
LIN28A,0.39,1.5 (1.1-2),5.6,0.018
GPC2,-0.21,0.81 (0.68-0.96),5.6,0.018
CLIC6,-0.11,0.9 (0.82-0.98),5.6,0.018
CTSV,0.12,1.1 (1-1.3),5.5,0.019
SBSN,0.069,1.1 (1-1.1),5.5,0.019
LINGO2,0.34,1.4 (1.1-1.9),5.5,0.019
BTNL2,-2.5,0.083 (0.01-0.67),5.5,0.019
LCN1P1,-0.96,0.38 (0.17-0.85),5.5,0.019
CROT,-0.15,0.86 (0.76-0.97),5.5,0.019
ZNF43,-0.22,0.8 (0.66-0.96),5.5,0.019
SPRR1B,0.054,1.1 (1-1.1),5.4,0.02
FMO9P,-0.093,0.91 (0.84-0.99),5.4,0.02
UNC13C,0.41,1.5 (1.1-2.1),5.4,0.02
MUC2,-0.2,0.82 (0.69-0.97),5.3,0.021
ZNF888,-0.17,0.85 (0.74-0.97),5.4,0.021
ZNF682,-0.24,0.79 (0.64-0.96),5.4,0.021
TMPRSS11BNL,0.73,2.1 (1.1-3.9),5.3,0.021
SLC38A4,-0.12,0.88 (0.8-0.98),5.3,0.021
HOXB.AS3,-0.25,0.78 (0.63-0.96),5.4,0.021
EMP3,0.12,1.1 (1-1.3),5.3,0.021
CYP3A5,-0.13,0.88 (0.79-0.98),5.2,0.022
SRMS,-0.16,0.85 (0.75-0.98),5.2,0.022
KRTAP5.10,-0.35,0.71 (0.53-0.95),5.2,0.023
ZNF737,-0.13,0.88 (0.79-0.98),5.1,0.023
LINC01356,0.27,1.3 (1-1.6),5.1,0.023
RASL10A,-0.26,0.77 (0.61-0.97),5.1,0.023
PTHLH,0.084,1.1 (1-1.2),5.1,0.024
SCNN1G,-0.088,0.92 (0.85-0.99),5.1,0.024
PPM1N,-0.18,0.84 (0.72-0.98),5.1,0.024
HMGCS2,-0.054,0.95 (0.9-0.99),5.1,0.024
HID1,-0.11,0.9 (0.82-0.99),5.1,0.024
MROH3P,-0.29,0.75 (0.58-0.96),5.1,0.024
CCL15,-0.18,0.84 (0.72-0.98),5.1,0.024
PM20D1,-0.068,0.93 (0.88-0.99),5,0.025
ANPEP,0.11,1.1 (1-1.2),5,0.025
IGF2BP2,0.1,1.1 (1-1.2),5,0.025
PLK2,0.13,1.1 (1-1.3),5,0.025
C5AR2,0.26,1.3 (1-1.6),5,0.025
ZPBP2,-2.2,0.11 (0.016-0.75),5,0.025
KLK6,0.077,1.1 (1-1.2),5,0.026
UGT1A1,-0.26,0.77 (0.61-0.97),4.9,0.026
INHBA,0.12,1.1 (1-1.3),4.9,0.026
KRT6B,0.051,1.1 (1-1.1),4.9,0.027
PKIA,-0.12,0.88 (0.79-0.99),4.9,0.027
LRRC4,0.24,1.3 (1-1.6),4.9,0.027
ABCA10,-0.28,0.75 (0.59-0.97),4.9,0.027
SLC5A7,-0.36,0.7 (0.51-0.96),4.8,0.028
ZNF253,-0.24,0.79 (0.64-0.98),4.8,0.028
DSCAM,0.63,1.9 (1.1-3.3),4.8,0.029
FTLP10,1.3,3.5 (1.1-11),4.8,0.029
DSP,0.096,1.1 (1-1.2),4.7,0.03
PACRG,-0.29,0.75 (0.57-0.97),4.7,0.03
MIR149,-0.31,0.73 (0.55-0.97),4.7,0.03
PPBP,0.15,1.2 (1-1.3),4.6,0.031
GPR68,0.13,1.1 (1-1.3),4.6,0.031
PDZD3,-0.28,0.75 (0.58-0.98),4.6,0.031
MIR200C,-0.41,0.66 (0.46-0.96),4.7,0.031
PPP1R9A,-0.24,0.79 (0.64-0.98),4.6,0.031
UGT2B7,-0.13,0.88 (0.78-0.99),4.6,0.031
SARM1,-0.42,0.66 (0.45-0.96),4.6,0.031
HMGA2,0.14,1.1 (1-1.3),4.6,0.032
FGFBP1,0.06,1.1 (1-1.1),4.6,0.032
LRTM1,-0.53,0.59 (0.36-0.96),4.6,0.032
SLC16A1.AS1,0.48,1.6 (1-2.5),4.6,0.033
MIR429,-0.11,0.89 (0.81-0.99),4.6,0.033
CASC16,-3,0.051 (0.0033-0.79),4.5,0.033
ARSJ,0.19,1.2 (1-1.4),4.5,0.034
EREG,0.097,1.1 (1-1.2),4.5,0.034
BBOX1,0.18,1.2 (1-1.4),4.5,0.035
CYP2C9,-0.31,0.73 (0.55-0.98),4.5,0.035
MYZAP,-0.16,0.85 (0.73-0.99),4.5,0.035
TRAK1,-0.15,0.86 (0.74-0.99),4.5,0.035
RNF222,0.42,1.5 (1-2.3),4.4,0.035
CCDC162P,-0.22,0.8 (0.65-0.98),4.4,0.035
GGT3P,-0.77,0.46 (0.23-0.95),4.4,0.036
MT1X,0.092,1.1 (1-1.2),4.4,0.036
TMPRSS11D,0.12,1.1 (1-1.3),4.3,0.037
REG4,-0.32,0.73 (0.54-0.98),4.4,0.037
ALDH1L1.AS2,-0.27,0.76 (0.59-0.98),4.4,0.037
KRT5,0.041,1 (1-1.1),4.3,0.038
AGAP11,-0.39,0.67 (0.46-0.98),4.3,0.039
LINC00601,0.38,1.5 (1-2.1),4.2,0.039
RBBP8NL,-0.12,0.88 (0.79-0.99),4.3,0.039
MIR141,-0.35,0.71 (0.51-0.98),4.2,0.039
AZGP1,-0.13,0.88 (0.77-0.99),4.2,0.04
OR13A1,-0.25,0.78 (0.61-0.99),4.2,0.041
LCE3D,0.11,1.1 (1-1.2),4.2,0.041
RHPN1,-0.12,0.89 (0.79-1),4.2,0.041
ZNF681,-0.24,0.78 (0.62-0.99),4.2,0.041
LPA,-1,0.35 (0.13-0.96),4.2,0.041
DPP10.AS1,-0.3,0.74 (0.55-0.99),4.2,0.041
DLX2,0.35,1.4 (1-2),4.2,0.042
CHAD,-0.25,0.78 (0.61-0.99),4.1,0.042
GGT6,-0.08,0.92 (0.85-1),4.2,0.042
SLC47A2,0.21,1.2 (1-1.5),4.1,0.043
CPA4,0.097,1.1 (1-1.2),4.1,0.043
KLK8,0.097,1.1 (1-1.2),4.1,0.043
C1orf87,-4.7,0.0096 (1e-04-0.87),4.1,0.043
SERPINB13,0.079,1.1 (1-1.2),4.1,0.043
